track 1;
13 -0.077364;
17 -0.082905;
13 -0.082905;
18 -0.091739;
17 -0.091739;
17 -0.1015;
16 -0.1015;
17 -0.112644;
16 -0.112644;
17 -0.122113;
16 -0.122113;
17 -0.132623;
17 -0.132623;
24 -0.147311;
16 -0.160312;
16 -0.160312;
14 -0.160312;
16 -0.174402;
13 -0.174402;
18 -0.187052;
17 -0.187052;
17 -0.198848;
16 -0.198848;
17 -0.209809;
16 -0.209809;
17 -0.220083;
16 -0.220083;
17 -0.229496;
16 -0.229496;
16 -0.239659;
17 -0.239659;
17 -0.249403;
17 -0.249403;
16 -0.256816;
17 -0.256816;
17 -0.26257;
17 -0.26257;
16 -0.267397;
18 -0.267397;
16 -0.271112;
17 -0.271112;
18 -0.274431;
16 -0.274431;
16 -0.277222;
16 -0.277222;
17 -0.279678;
17 -0.279678;
16 -0.282615;
17 -0.282615;
16 -0.286213;
17 -0.286213;
17 -0.289752;
17 -0.289752;
17 -0.293269;
16 -0.293269;
17 -0.295196;
16 -0.295196;
17 -0.296093;
17 -0.296093;
17 -0.295925;
16 -0.295925;
14 -0.294337;
18 -0.294337;
16 -0.289369;
17 -0.289369;
17 -0.281756;
16 -0.281756;
17 -0.269127;
17 -0.269127;
18 -0.2559;
18 -0.2559;
16 -0.246189;
17 -0.246189;
17 -0.233202;
15 -0.233202;
17 -0.217355;
16 -0.217355;
17 -0.204137;
17 -0.204137;
17 -0.194269;
17 -0.194269;
16 -0.184904;
18 -0.184904;
23 -0.179019;
16 -0.173894;
16 -0.173894;
16 -0.173894;
11 -0.16892;
16 -0.16892;
17 -0.165046;
17 -0.165046;
17 -0.161613;
16 -0.161613;
25 -0.158155;
17 -0.158155;
15 -0.15564;
15 -0.15564;
15 -0.152637;
16 -0.152637;
15 -0.148033;
17 -0.148033;
16 -0.142652;
16 -0.142652;
17 -0.1369;
18 -0.1369;
16 -0.127648;
16 -0.127648;
17 -0.115262;
17 -0.115262;
17 -0.101829;
16 -0.101829;
16 -0.085794;
18 -0.085794;
16 -0.071402;
17 -0.071402;
16 -0.055865;
18 -0.055865;
16 -0.039081;
16 -0.039081;
18 -0.023278;
15 -0.023278;
18 -0.009687;
17 -0.009687;
16 0.008156;
17 0.008156;
17 0.021437;
17 0.021437;
16 0.032742;
17 0.032742;
16 0.044741;
17 0.044741;
17 0.056428;
17 0.056428;
16 0.068471;
18 0.068471;
15 0.077465;
17 0.077465;
16 0.088069;
17 0.088069;
17 0.098124;
16 0.098124;
17 0.105707;
16 0.105707;
17 0.115006;
16 0.115006;
16 0.121504;
18 0.121504;
16 0.127195;
16 0.127195;
17 0.133208;
17 0.133208;
16 0.137667;
16 0.137667;
17 0.141992;
17 0.141992;
17 0.14642;
16 0.14642;
24 0.149891;
15 0.149891;
15 0.152378;
16 0.152378;
14 0.153632;
17 0.153632;
16 0.152653;
17 0.152653;
16 0.150036;
17 0.150036;
16 0.14457;
18 0.14457;
16 0.137266;
17 0.137266;
17 0.130861;
16 0.130861;
16 0.119954;
18 0.119954;
16 0.108523;
16 0.108523;
17 0.094994;
17 0.094994;
18 0.084889;
15 0.084889;
17 0.074333;
16 0.074333;
17 0.063624;
17 0.063624;
16 0.048689;
17 0.048689;
16 0.035566;
17 0.035566;
17 0.010429;
16 0.010429;
17 -0.006283;
16 -0.006283;
18 -0.023658;
15 -0.023658;
18 -0.039996;
16 -0.039996;
16 -0.056475;
16 -0.056475;
17 -0.069625;
17 -0.069625;
17 -0.081687;
17 -0.081687;
17 -0.094786;
16 -0.094786;
18 -0.108916;
16 -0.108916;
17 -0.121694;
16 -0.121694;
17 -0.135099;
16 -0.135099;
17 -0.146405;
17 -0.146405;
17 -0.156287;
17 -0.156287;
15 -0.165367;
19 -0.165367;
15 -0.174333;
17 -0.174333;
17 -0.182145;
16 -0.182145;
17 -0.189211;
17 -0.189211;
16 -0.195645;
17 -0.195645;
24 -0.202631;
16 -0.202631;
16 -0.209202;
16 -0.209202;
15 -0.214589;
15 -0.214589;
17 -0.21929;
14 -0.21929;
16 -0.223514;
17 -0.223514;
16 -0.226984;
17 -0.226984;
16 -0.229888;
17 -0.229888;
24 -0.232298;
17 -0.232298;
14 -0.234427;
15 -0.234427;
17 -0.236584;
15 -0.236584;
16 -0.238737;
17 -0.238737;
15 -0.241368;
18 -0.241368;
15 -0.244199;
17 -0.244199;
17 -0.247369;
17 -0.247369;
15 -0.252149;
17 -0.252149;
17 -0.258932;
15 -0.258932;
18 -0.266023;
17 -0.266023;
16 -0.273435;
16 -0.273435;
17 -0.279979;
16 -0.279979;
17 -0.285771;
17 -0.285771;
16 -0.291316;
17 -0.291316;
17 -0.296486;
17 -0.296486;
16 -0.30064;
17 -0.30064;
16 -0.304144;
18 -0.304144;
16 -0.307084;
16 -0.307084;
17 -0.309425;
16 -0.309425;
18 -0.311406;
16 -0.311406;
