track 1;
17 0.050129;
18 0.050129;
16 0.050129;
18 0.030835;
14 0.030835;
17 0.030835;
17 0.030835;
17 0.015695;
17 0.015695;
16 0.015695;
17 0.015695;
17 0.004271;
17 0.004271;
15 0.004271;
17 0.004271;
18 -0.003851;
16 -0.003851;
17 -0.003851;
16 -0.003851;
18 -0.008238;
16 -0.008238;
17 -0.008238;
16 -0.008238;
18 -0.008238;
16 -0.004153;
17 -0.004153;
16 -0.004153;
18 0.013224;
16 0.013224;
16 0.013224;
17 0.013224;
17 0.040721;
17 0.040721;
17 0.040721;
17 0.040721;
16 0.073304;
16 0.073304;
17 0.073304;
17 0.073304;
16 0.109137;
17 0.109137;
17 0.109137;
15 0.109137;
16 0.146528;
19 0.146528;
17 0.146528;
17 0.146528;
17 0.18444;
16 0.18444;
17 0.18444;
16 0.18444;
19 0.218578;
15 0.218578;
17 0.218578;
17 0.218578;
17 0.248714;
15 0.248714;
18 0.248714;
17 0.248714;
17 0.248714;
17 0.273247;
16 0.273247;
18 0.273247;
16 0.292738;
17 0.292738;
17 0.292738;
16 0.292738;
17 0.310411;
15 0.310411;
19 0.310411;
15 0.310411;
18 0.322816;
16 0.322816;
17 0.322816;
16 0.322816;
18 0.322816;
15 0.329507;
18 0.329507;
17 0.329507;
16 0.329393;
16 0.329393;
14 0.329393;
19 0.329393;
16 0.322132;
15 0.322132;
18 0.322132;
17 0.322132;
18 0.306905;
15 0.306905;
16 0.306905;
18 0.306905;
17 0.285807;
16 0.285807;
17 0.285807;
18 0.285807;
17 0.285807;
15 0.285807;
16 0.285807;
18 0.285807;
15 0.;
18 0.;
18 0.;
15 0.;
17 0.;
17 0.;
18 0.;
15 0.;
17 0.;
17 0.;
16 0.;
17 0.;
19 0.;
14 0.;
18 0.;
16 0.;
16 0.;
17 0.;
17 0.;
17 0.;
16 0.;
18 0.;
15 0.;
17 0.;
17 0.;
17 0.;
16 0.;
17 0.;
18 0.;
16 0.;
17 0.;
15 0.;
16 0.;
18 0.;
15 0.;
19 0.;
15 0.274241;
18 0.274241;
433 0.274241;
0 0.274241;
0 0.297512;
0 0.297512;
0 0.297512;
0 0.297512;
0 0.312613;
0 0.312613;
0 0.312613;
0 0.312613;
0 0.326675;
0 0.326675;
0 0.326675;
0 0.326675;
0 0.332224;
0 0.332224;
0 0.332224;
0 0.332224;
0 0.332451;
0 0.332451;
0 0.332451;
0 0.332451;
0 0.3255;
0 0.3255;
0 0.3255;
0 0.3255;
15 0.313326;
18 0.313326;
16 0.313326;
16 0.313326;
18 0.2898;
16 0.2898;
16 0.2898;
18 0.2898;
15 0.264989;
17 0.264989;
17 0.264989;
18 0.264989;
19 0.264989;
13 0.238489;
19 0.238489;
15 0.238489;
19 0.212195;
15 0.212195;
15 0.212195;
18 0.212195;
16 0.186663;
19 0.186663;
13 0.186663;
19 0.186663;
17 0.155694;
18 0.155694;
16 0.155694;
16 0.155694;
18 0.119782;
15 0.119782;
17 0.119782;
16 0.119782;
18 0.084318;
16 0.084318;
17 0.084318;
18 0.084318;
15 0.051;
17 0.051;
16 0.051;
17 0.051;
17 0.028343;
17 0.028343;
16 0.028343;
17 0.028343;
18 0.022901;
15 0.022901;
16 0.022901;
16 0.022901;
18 0.019523;
17 0.019523;
16 0.019523;
17 0.019523;
17 0.017593;
16 0.017593;
15 0.017593;
19 0.017593;
17 0.020365;
17 0.020365;
15 0.020365;
16 0.020365;
18 0.026113;
17 0.026113;
7 0.026113;
25 0.026113;
17 0.029932;
16 0.029932;
17 0.029932;
15 0.029932;
18 0.032121;
16 0.032121;
18 0.032121;
16 0.032121;
18 0.035101;
16 0.035101;
16 0.035101;
18 0.035101;
16 0.036918;
16 0.036918;
17 0.036918;
16 0.036918;
18 0.03592;
